,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
n,Herod,,,"Herod is the family name of kings whom the Romans put in power over parts of Israel. Four of those kings were (1) Herod the Great in Judea (King during the time Jesus was a baby), (2) Herod Antipas in Galilee (who ruled during the time Jesus was preaching), 3) Herod Agrippa the First  in Judea (who ruled after Jesus' resurrection and persecuted the early Christians) and (4) Herod Agrippa the Second in Judea (who ruled during the time Paul was being tried).",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,High Priest,Chief Priest,leader of the giving to God ones (R); head man of priests (U), The High (Chief) Priest was the leader of all the priests. The High Priest was the only person permitted to go into the Most Holy Place in the Tabernacle or Temple where he would sacrifice to God for his own sins and the sins the people had done.,priest,other language: head man of priests (Urt),,,,,,,,,,,,,,,,,,,,,,,,,
t,holy,"holiness, holies, holiest, ","unique;
set apart / special / sacred; 
pure or having no sin/guilt/moral fault;
belonging to God (associated with God);
staying away from bad things/deeds (G);
Pure (W); belonging to God (R); clean (R); straight (k);","Holy means (1) pure, clean, (2) forgiven; (3) unique, different from others; set apart; dedicated or belonging to God, and (4) faithful to God. Jesus was called the Holy One, and God himself is called the Holy Spirit. (The Bible calls Christians Saints, which means Holy people.)","Holy Spirit, sin, sinful , saint",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Holy Spirit,"God's Spirit, Spirit of Jesus, Jesus' Spirit, God's Holy Spirit","God's Spirit;
God's breath;
the Attractive/Good Spirit (G);
Spirit of Jesus;
The Pure Breath (W); Straight Spirit (R); bright/perfect breath/wind (U)","Because God is holy, and God is a Spirit, the bible calls God the Holy Spirit. As Jesus was God with us in visible form, so the Holy Spirit is God with us in unseen form. (Jesus promised that the Holy Spirit would come abide with those who have faith in Jesus.)

",spirit ,other language: bright/perfect breath/wind (urt),,,,,,,,,,,,,,,,,,,,,,,,,
t,honor,"honorable, honored","honor / speak well of (G); 
stay under authority / have first place / lift up/praise name of / make happy (U)t","To honor someone is to tell how great or good a person is, or to show respect for a person's age, wisdom or authority.","worship, praise, thank","other language: stay under authority (urt), have first place (urt), lift up/praise name of (urt), make happy (urt)",GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,horse,horses,,"Horses are big, strong, fast running animals that humans can ride on.  They can be made to pull wagons and chariots, or to carry loads. Horses come in many sizes, but they are generally shorter than camels and bigger than donkeys. ",,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,hosanna,,osaana (R); praise / be happy with (U);,"""Hosanna"" is a greeting that Jews used to shout to give honor to their king. It means ""May God save him!"". ",,"praise (urt), be happy with (urt)",,,,,,,,,,,,,,,,,,,,,,,,,
t,hyssop,,(little) tree called isop (K); ,"Hyssop is a kind of plant. Israel's priests used to dip a hyssop leaf into blood from a sacrifice, then sprinkle people or things with the blood to make them holy in the sight of God.",,"Hyssop is a shrub, not a tree.",,,,,,,,,,,,,,,,,,,,,,,,,
t,idol,"idols, gods","(carved/man-made) image worshipped by people;
image;
false god (G, K);
carving (W, R)","Idols are objects that folk desire more than they desire God. An idol is a created, visible image made to represent something not usually visible.  Some folk carve idols from wood or from stone. Folk believe that a god or a spirit comes and dwells in the idol, so they pray to the idol, supposing that the god will hear them.","God,",,"False only in the sense that they are not Yahweh, the incomparable Creator. The spirits of gods do exist and pagans do pray to them.",,,,,,,,,,,,,,,,,,,,,,,,
t,incense,,"sticky substance whose smoke smells good (R); 
 powder cooked/burned and its smoke smells good and it is called insens (K)",Incense is the sap or parts of a tree that smell sweet when burned. Many religions burn insence while worsipping their gods.,frankincense,,,,,,,,,,,,,,,,,,,,,,,,,,
t,iron,,,"Iron is a strong metal useful to make tools, weapons, war carts or chariots (to be pulled by horses) and chains.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Isaac,,,"Isaac lived about 1900 years before Jesus. Isaac was the son that God promised to Abraham that his wife Sarah would bear. Isaac is also the son whom Abraham offered to sacrifice to the Lord God. (When Sarah heard God's promise that she would bear a son even though she was already old, she laughed. Isaac means laughter.)",,,The spirit of Antichrist has promulgathed a false docrine that Abraham offered his bastard son Ishmael.,,,,,,,,,,,,,,,,,,,,,,,,
n,Isaiah,,,"Isaiah lived around 800 years before Jesus. He often spoke to the kings of Judah, and wrote the Book of Isaiah, making many predictions about the Messiah. Jesus said that Isaiah wrote about him.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Israel,"Israelite, Israelites",,"Israelites are descended from Jacob whose name became Israel. Israelites were members of the country called Israel. (After the tribes invaded Canaan, they named their nation Israel.) After the country split in two, northerers were called Israelites and southeners called Judeans. ","Hebrew, Jew",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Jabin,,,"Jaban was a Canaanite king whose army oppressed the Israelites. After they prayed to the Lord, the Israelites defeated Jabin's army and killed him.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Jacob,,,"Jacob lived about 1850 years before Jesus. He was a son of Isaac and grandson of Abraham. After Jabob wrestled with an angel from God, the angel have him a new name, Israel. Israel's twelve sons became the ancestors of the twelve tribes of Israel. (Thus, the Israelites are sometimes called the House of Jacob.)",Israel,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Jael,,,"Jael was a Kenite woman whose clan lived in Israel but was at peace with the Canaanites. When Sisera fled from the Israelite army he took refuge in Jael's tent, where she killed him as he slept. (The name Jael means ""The Lord is God"".)",,,"Yah is often assumed to be a short form of Yahweh, even though other nations myths mention a deity called Yah or Yeh.",GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,jail,"jails, prison, prisons, imprisoned, jailed","place where one is emprisoned (G);
","A jail or prison is a small house or room in which governments lock up criminals or those accused of a crime. Joseph was locked up in a jail in Egypt, Peter in a jail in Jerusalem, and Paul in a jail in Rome.  A person who is locked up in a jail is called a prisoner.  A person who is in authority over a jail or prison is called a jailor.",chain,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,James,,,There were several men named James. Two were a Apostles. Another was Jesus' brother James who later became a Christian and a leader in the churches at Jerusalem. (The Hebrew form of James is Jacob which means Surplanter.),,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t ,jealous,jealousy,,"Jealousy can mean (1) to feel badly or angry when someone else succeeds or gets what you want, (2) to envy others, or (3) to desire what they have. Jealousy can lead you to sin. God feels jealous when his people worship other gods.",,,The slant (/) has no meaning.,,"Key Term Database including back translation contributions from the following languages: Daasanach (D), Wolof (W), Guajajara (G), Kandas (K) and Ramoaaina (R). © 2019 Wycliffe Bible Translators, Inc.",,,,,,,,,,,,,,,,,,,,,,
n,Jehoachin,"Jehoiachin, Coniah",,"Jehoachin, also called Coniah and Jehoiachin, was king of Judah (southern Israel) when a Babylonian army invaded and capture the City of Jerusalem 598 years before Christ.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Jehoiada,,,Jehoiada was high priest in the temple at Jerusalem before and during the reign of King Joash. His wife rescued baby Joash from being killed by evil Queen Athaliah.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Jephthah,,,"Jephthah lived about 1700 years before Jesus during the time of the judges. He became the leader of the Israelite's army, leading it to victory.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Jeremiah,,,"Jeremiah lived around 600 years before Jesus, before and during the time when Israel was destroyed by Babylon. He was a prophet of God who called the Israelites to repent of their disobedience, warning them that the Bablonians would come capture Jerusalem and take them into captivity for 70 years.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Jericho,,,"Jericho was the name of a strong, walled city in Canaan. It was where Rahab lived. Jericho was the first city that Joshua and the Israelites defeated with God's miraculous help. God caused the walls of Jericho to fall down.",,,Good as is.,,,,,,,,,,,,,,,,,,,,,,,,
n,Jeroboam,,,"After King Soloman died, his kingdom was divided in two. Jeroboam became king over the northern part, which they called Israel. Jeroboam told the Israelites to stop going to Jerusalem, and to worship the Lord by bowing to idols that looked like a bull, and he made himself to be a priest. These actions displeased the Lord. Jeroboam was a wicked king.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Jerusalem,,,"After king David captured Jerusalem, it became Israel's capital city. (The name Jerusalem means Peace City.)  King Solomon built a temple for God at Jerusalem. For 1000 years, Jerusalem city remained the central place of worship for Jews. Another name for Jerusalem is Mount Zion, because it is located on a hill. Jerusalem has been destroyed and rebuilt several times. ",Zion,, ,,,,,,,,,,,,,,,,,,,,,,,,
n,Jesse,,,"Jesse was the father of King David, who was an ancestor of Jesus Christ. In the Old Testament, the prophet Isaiah had written that the Messiah or Christ would be a descendant of Jesse and of David.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Jesus,,"Yeesu in Roman script, Isaa in Arabic script (W);","(An angel told Mary and Joseph to name her son) Jesus, which means ""God Saves""  because he would save people from their sins. Jesus is the promised Messiah or Christ. He is God come in human flesh, the only Saviour. (He worked miracles on earth, he died because of our sins, he rose to life three days later, and he has ascended into heaven from whence he will return one day to judge the living and the dead and to continue ruling over the kingdom which he is even now in the process of building). Some other titles which are given to Jesus are: Jesus Christ, Messiah, Son of God, Son of Man, Son of David.",,Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Jethro,Reuel,,"Jethro was the title of a priest of Midian. His personal name was Reuel (Ex. 4.18). Moses married one of Jethro's daughters in about 1400 BCE. (The name Reuel means ""friend of God"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Jew,"Jews, Jewish, Hebrews",people (a tribe) called Jews; sons of Israel (W);,"The Jews were descendants from Abraham and Jacob, also called Israel. They lived in the land called Judah, thus the title Jews. The Jews were known as ""God's people"" because God chose them to be the nation through whom he would make himself known and through whom the Messiah would be born. God chose Israel, the Jews, to be a light to all the nations, to show God to all the world. The ethnic Jews did not do that. So God sent Jesus, born as a Jew, to fulfill his purpose to bring light and life to all the nations in the world. Jesus taught that a ""true"" Jew was not an ethnic descendant from Abraham, but rather any person (no matter their biological ethnicity) who trusted and obeyed God like Abraham did.  ","Gentile, Israelite","I would leave this out from notes: Sometimes the term ""Jew"" is used figuratively/generically in the New Testament to refer to believers, Christians, people who truly belong to God. (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,Jewel,"jewels, gem, gems, gemstone, gemstones",stone (R); beads (R); stones you pay big money (U);,"Jewels are beautiful stones of difference colours, that cost a lot of money. The high priest of Israel wore jewels on his breast plate (to symbolize the 12 tribes of Israel). The New Jerusalem is described in the Book of Revelation as having walls made of jewels.",,other language: stones you pay big money,,,,,,,,,,,,,,,,,,,,,,,,,
t,Jewish Religious Leaders,"Religious Leader, Religious Leaders, Jewish religious leader","leaders of Jews who believe in God (G); 
","Jewish religious leaders included priests, rabbis, scribes and teachers who were supposed to help others understand and obey God's laws. Many such leaders disbelieved in Jesus and tried to harm Jews who became Christians.","pharisee, Sadducee",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Joab,,,Joab was a loyal commander over David's army for many years.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Joash,Jehoash,,"Joash was a king of Judah (Southern Israel) about 800 years before Christ. While young, he served the Lord, but when old, he did evil and was killed.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Job,,,"Job was a famous, rich, godly, good man who lived long, long ago. After enemies stole all of his wealth and Satan killed his children, he became very sick. His friends accused him of secret sins, but Job knew he was a good man, so he wanted to ask God why he was suffering. After he became humble, God restored his health and his wealth, and he had more children.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,John,,Yowanna (W),"The name John means ""God's Grace"". Men in the Bible named John include (1) the baptiser who warned people to return to God, (2) an apostle of Jesus who was one of three very close to Jesus and who wrote the Gospel, several letters and almost certainly the Reveltion, (3) Barnabas' cousin called John Mark who wrote a Gospel, (4) Peter's father, (5) a relative of a high priest.",,Arabic ref.,Some believe that (2) and (6) be the same man.," Several people named John are mentioned in the New Testament. The two most important are John the Baptizer and John the Apostle: (1) John the Baptizer was the prophet who prepared the way for Jesus. He was a prophet in the tradition of Elijah, and like Elijah he warned the people to repent and come back to God. See Matthew 3:1–15; 11:2–19; 14:1–12; 17:13; 21:24–32; Mark 1:4–11; 6:14–29; 11:29–33; Luke 1:13–17, 57–63, 76–80; 3:2–20; 7:18–33; 11:1; John 1:6–8, 15, 19–36; 3:22–30. (2) John the Apostle was the son of Zebedee and brother of James. He was one of the twelve apostles of Jesus. He wrote the Gospel of John and the Letters of John, and almost certainly the Book of Revelation. See Matthew 4:21–22; 10:2; 17:1–13; Mark 1:29; 3:17; 5:37; 9:1–13, 38; 10:35–41; 13:3; Luke 8:51; 9:28–36, 49, 54; 22:8; Acts 3:1–11; 4:13, 19–20; 8:14–17; Galatians 2:9; Revelation 1:1, 4, 9; 22:2, 8. (3) John Mark, the cousin of Barnabas and co-worker of Paul, wrote the Gospel of Mark (Acts 12:12; 13:4–13; 15:37–39; Colossians 4:10; 2 Timothy 4:11; Philemon 24; 1 Peter 5:13). (4) John was the name of the father of Simon Peter (Matthew 16:17; John 1:42; 21:15–17). (5) Also there was a member of the family of the High Priest Annas named John (Acts 4:6).",,,,,,,,,,,,,,,,,,,,,,,
n,Jonah,,,"Jonah lived around 800 years before Jesus. His name means Dove, a kind of bird. He was a prophet of God who (reluctantly) called the wicked city of Ninivah to repent. (Jesus once said that he himself would return to life three days after his death, as Jonah was three days in a big fish that had swollowed him.) God used Jonah's life as a message as much as Jonah's words.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Jonathan,,,"Jonathan was King Saul's son. He and David became very good friends. When Saul and Jonathan died in battle, David became king in their stead. (The name Jonathan means Gift from the Lord.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Joppa,,,"Joppa was a town on the sea coast to the West of Jerusalem, where ships and boats came and went. ",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Jordan,Jordan river,,"Jordan is the name of the long river that flows from north to south in the land of Israel. On the west side of the Jordan is good farmland, whereas east side of the Jordan remains wilderness.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Joseph,,," Men named Joseph include (1) Jacob's eleventh son, (2) Mary's husband, (3) one of Jesus' brothers, (4) the rich Jewish leader who buried Jesus' body, and others. 
Jacob's son Joseph was sold as a slave in Egypt about 1800 years before Jesus, (and became an important official in Egypt where he brought Jacob's family to stay 400 years). (The name Joseph means He will Add.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Joshua ,,,"Joshua lived around 1400 years before Jesus. His name means ""God Saves"". He was one of the 12 spies that Moses sent into Canaan. Joshua became leader of the Israelites when Moses died, until they conquered Canaan. (He said, ""As for me and my family, we will follow God."") 
(The name Joshua means the LORD saves. The name Jesus is a form of the name Joshua.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Judah,,,"Judah was one of Jacob's twelve sons. His mother was Leah. He became the ancestor of the Israelite tribe of Judah. 
After King Solomon died, the northern tribes were still called Israel, whilst the two southern tribes were called Judah in Hebrew, and called Judea in Latin. (The name Judah means Praise.)",Judea,,"GC 08-Mar-2019

RR: should a note be made here about Judah also being a country split off from Israel?",,,,,,,,,,,,,,,,,,,,,,,,
n,Judea,,,Judea is name of the province or area where the tribe of Judah lived.,Judah,Judea is name of province/area where tribe of Judah lived. (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,judge,judges,"leader of the Jews in Kanaan land (G); 
man (who) descides (solution for) disputes/talk (U);","In ancient times, before there was a king in Israel, judges ruled over tribes. These judges or leaders had authority to settle disputes and arguements, and even to lead soldiers in battle.
To judge is to make a decision.
A judge in modern times is usually the one to make or announce a final decision in a court.","king, prophet",other language: man (who) decides (solution for) disputes/talk (urt),GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,just,"justice, justly, fair, justify","one is held to be good in (God's) presence (G);
Set someone right (W); call them straight ones (R); call them straight in his eyes (R);
tell correctly people's works (G);
","Justice means obeying laws or standards. A just person obeys laws. A just judge decides cases by what the law says. God is just when he rewards or punishes others by what his own laws say.  God accepts as righteous or justified, those who believe his promises, as Abraham did. Although our good works show that we have faith, it is our faith that justifies or saves us. (God does not justify those who try to earn their salvation.)","righteous, good, evil",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Keturah,,,"After Abraham's wife Sarah died, he married a woman named Keturah, who bore several chidren. (The name Keturah may mean Incense or Sweet Smell.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,kind,kindness,"doing good to people (G); 
",Kindness is doing good for other people in a gentle manner. ,mercy,"take out: showing pity to people (because it is mercy, not kindness) (hilkka)",GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,king,"kings, King","ruler/authority person;
Chief (G); king (R);
","A king remains the highest ruler over a kingdom or nation until he dies. Some nations worshipped their king as a god. (Some nations, kingdoms or empires called their kings by different titles or names, e.g., Rome called its king Cesaer; Egypt called its king Pharaoh; the Philistines called their king Abimelech).","Ceasar, Pharaoh, Abimelech",,,,,,,,,,,,,,,,,,,,,,,,,,
t,kingdom ,"kingdoms, empire, empires",,"A kingdom is wherever a king rules over land and people. An empire is wherever a king rules over many lands and peoples. Sometimes the word ""throne"" symbolizes kingdom.","nation, country",,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Kingdom of God,"Kingdom of Heaven, God's Kingdom","realm of God;
How God rules [reigns] over everything;
God's ruling of people (G); government of God (R); ","The Kingdom of God exists wherever humans obey God as their king:  Jesus, because he is the King, brought God's Kingdom to earth when he came into the world.  God's Kingdom includes all those who welcome Jesus to rule over them as their King, both in heaven and on earth. 
Sometimes the word ""throne"" (king's chair) is used to symbolize kingdom.",,,"RR: #3 definition seems to contradict #1.  If Jesus (and God) are truly all-powerful and have all authority, then it seems to me that Jesus has been and is currently the king over earth and heaven.  He is the High King.  Currently there are many ""under kings"" reigning on earth, but they are under Jesus' sovereignty.  Perhaps #3 should say something more like One day Jesus will do away with all other earthly kings and he himself will reign soley, visibly as King of earth when earth and heaven are once again rejoined/renewed.
GC: God's eternal sovereign rule over his creation and its creatures, to my knowledge, is not called 'Kingdom of God' in Scripture, only in abstract theology. Theology can inform translators, but should not introduce extraneious infomation into translation of specific verses.
RR: I feel more comfortable in having information that is general here, rather than trying to define past, present, future and eternal kingdoms (which is more a theological extraction than clearly deliniated in Scripture).
GC 08-Feb-19","The Kingdom of God exists wherever humans obey God as their king. Because Jesus is the divine King, he brought God's Kingdom to earth when he came into the world.",,,,,,,,,,,,,,,,,,,,,,,
t,knowledge,"know, known",the real knowing of things (G);,"Knowledge  or 'to know' may mean (1) everything that people can remember and talk about; (2) ideas or thoughts that people believe to be true; (3) to enjoy being with someone or belonging to God; or (4) to conceive children together. 
Wisdom is skill in how to use knowledge to do good actions.",wisdom,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Korah,,,"Korah led a rebellion against Moses and Aaron. So, God caused the ground to crack open, and Korah and all who followed him fell into the crack and died.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Laban,,,"Laban was Jacob's uncle, Rebecca's brother, who lived in Haran. Laban was the father of Leah and Rachel who became Jacob's wives. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Lake Galilee,,,"Lake Galilee is a large body of deep fresh water in northern Israel, from which the Jordan River flows southwards.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Lamb of God,God's Lamb,"adolescent man sheep of God (K); young/small sheep of God (R, W)","John the Baptist called Jesus the Lamb of God, because he knew that Jesus would die as a sacrifice, so that God would forgive us humans of our sins. (The Book of Revelation calls Jesus the Lamb that was slain or killed but has come back to life.)",,,"As essential element of the Good News is that Jesus was crucified because of our sins. Romans explains that Jesus' death exonorates God who forgives guilty sinners. However, the idea of substitution seems a modern, evangelical metaphone that displaces attention away from the holiness of God onto a kind of punishment theme, perhaps a useful idea though hard to prove scripturally.",,,,,,,,,,,,,,,,,,,,,,,,
t,lampstand,"lamp, lantern ",,"A lampstand is a lamp, made of metal, that supports one or more flames of fire, and holds their fuel.",,GC: ,Distinguished from clay lamps and from fire pots.,,,,,,,,,,,,,,,,,,,,,,,,
t,land,"earth, country",earth/land (G);,"Land can mean (1) the ground upon which we walk, (2) the soil in which we plant seed, (3) the country in which we dwell, or (4) the earth (the part of our plantet) that is not covered by sea water.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Law (of Moses),Law,the words of Moses of long ago (G); instructions from God through Moses; Way of Moses (W);,"The Law contains the rules and instructions that God revealed to Moses for the Israelites. The law (1) tells actions that please God, and (2) show us humans how sinful we are. The Law remains good, but only faith in God can save us from from hell. (Christians live by obeying Jesus' commandments (the primary one of which is to believe in Him), not by obeying the Law.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,leader,leaders,ones who guide you (G); head man (U),"A leader is someone who points to the way in which others must go. Very powerful leaders were called kings or emperors. Less powerful ones were called chiefs, governors or elders. Least powerful ones were family heads and work bosses.","king, governor, elder",other language: head man (urt),,,,,,,,,,,,,,,,,,,,,,,,,
t,leprosy,"leper, lepers",lepra (R),"Leprosy is a serious skin disease. People who had the leprosy illness were called lepers. Those who suffered from this disease in Bible times were required to live apart from other people. (Although healthy people would never touch a leper, Jeus touched lepers when he healed them.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Levi,"Levites, Levite",from the clan of Lewi (R); from the clan of Liwai (K),"Levi was one of the twelve sons of Jacob, the ancestor of the Israelite tribe called Levi. In Israel, only Levites were allowed to serve as priests and workers in the temple at Jerusalem. Aaron was a Levite. Matthew, who wrote the Gospel, was also called Levi. (The Christians' high priest is Jesus who came from the tribe of Judah.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Lion,lions,laion (K); large cat / jaguar (G); simba (W);,"Lions are very large, strong, brave cats that kill and eat other large animals... (They have sharp teeth and long claws that retract.) (Lions are dangerous and can kill people.) (Kings were often compared to lions.) (Jesus is called the Lion of the Tribe of Judah.)",,jaguar and simba not helpful in PNG,,,,,,,,,,,,,,,,,,,,,,,,,
t,livestock,,,"Livestock are domesticated (non wild) animals like goats, cows, camels, donkeys, sheep etc) that people keep together and look after near their homes in order to support themselves","herd, shepherd",,,,,,,,,,,,,,,,,,,,,,,,,,
t,locusts,locust,,Locust are flying insects (something like a grasshopper) that may come in swarms and destroy crops and other plants. Some people eat locusts for food.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,Lord,,Most High God; Big/Great person; the owner/boss of all people (G); rich & important man (R); big (K); Owner (W);,Lord means (1) The Only Creator God; (2) owner of land or of slaves; (3) husband; (4) a spirit that rules over other spirits; and (5) a title of respect like Sir.,God,,"Of course, in English LORD translates the Hebrew YHWH, which the LXX translated as kurios, lord, without a definite article. Hence the practice of substituting LORD for Yahweh, and of referring to Jesus as Lord. Lord also translates the Hebrew Adonai (My Lords) used only of God.",,,,,,,,,,,,,,,,,,,,,,,,
t,Lord,,"Most High God;
Big/Great person;
the owner/boss of all people (G); rich & important man (R); 
 big (K); Owner (W);
",Lord means (1) The Only Creator God; (2) owner of land or of slaves; (3) husband; (4) a spirit that rules over other spirits; and (5) a title of respect like Sir.,God,,"Of course, in English LORD translates the Hebrew YHWH, which the LXX translated as kurios, lord, without a definite article. Hence the practice of substituting LORD for Yahweh, and of referring to Jesus as Lord. Lord also translates the Hebrew Adonai (My Lords) used only of God.",,,,,,,,,,,,,,,,,,,,,,,,
n,Lot,,,"Lot was Abraham's nephew (brother's son). Lot dwealt near Abraham. But when both men had big herds of cattle, they separated. Abraham chose to dwell in tents, whilst Lot went and dwelt in the evil city of Sodom. (Lot became the ancestor of the Moabites and of the Amonites, enemies of the Israelites.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Lot,,,"Lot was Abraham's nephew (brother's son). Lot dwealt near Abraham. But when both men had big herds of cattle, they separated. Abraham chose to dwell in tents, whilst Lot went and dwelt in the evil city of Sodom. (Lot became the ancestor of the Moabites and of the Amonites, enemies of the Israelites.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,love,"loving, loves, loved",Want (W);,"Love means we seek to treat others in ways that we want them to treat us. God loved us by sending Jesus to save us, and we love one another by meeting real needs, while trying not to offend others. The Bible says that the best kind of love is to gladly die to self (or deny one's self) in order to help a friend.","kind, mercy, grace",,other lg example weard: want (W)???. E.g. better to say like a lot.,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,
t,magi,,sky watchers (W);star men; star knowers (G); men who studied the stars; lords of knowledge (W);,"Wise men in the East who studied the sky and the stars, to discern signals or messages from God.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Manasseh,,,Manasseh was the older of Joseph's two sons. Manasseh became an ancestor of a tribe of Israel. (The name Manasseh means Forget.),,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,manna,,"maanaa (R);
food which falls from the sky (G); 
","Manna was food that that God gave to the Israelites during their 40-year wandering between Egypt and Canaan. In the Hebrew language, manna means ""what is it?"".  It was something like sweet bread without yeast.  Every morning, except the Sabbath, the Israelites would gather manna from the ground around their camp site. (Manna has a pleasant taste, but it spoiled quickly.)",bread,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Mark,,,"Mark was a common Roman name. A young Jewish man named John Mark, who had known Jesus, wrote the Gospel of Mark and helped Luke write the Gospel of Luke.",,"This is not essential:  failed as a Christian missionary -  rather he quarreled with Paul, but is that necessary to mention here? (Hilkka)",GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Mary,,,"The name Mary may mean Wished-for or Bitter. In the New Testament of the Bible, several women are named Mary, including Jesus' mother and a disciple from Magdala. The sister to Lazarus and Martha was also called Mary, from Bethany.",,," Several different women named Mary are mentioned in the New Testament: (1) Mary the mother of Jesus. (2) Mary of Magdala. Jesus drove seven evil spirits from her, and she became one of his followers (Matthew 27:55–56; Mark 16:9; Luke 8:2; John 20:1–2; 11–18, and other passages). (3) Mary of Bethany, the sister of Martha and Lazarus. She sat at the feet of Jesus and listened to his teaching (Luke 10:38–42; John 11:1–5; 12:1–7). (4) Mary the mother of James and Joseph. This Mary may be the same person as Mary the wife of Cleopas, but this is not certain (Matthew 27:56; Mark 15:40; 16:1; Luke 24:10). (5)Mary the mother of John Mark. This Mary had a house in Jerusalem where the disciples of Jesus used to meet (Acts 12:12).",,,,,,,,,,,,,,,,,,,,,,,,
n,Matthew,,,"Matthew, also known as Levi, was an educated man, a tax collector when Jesus called him to be his disciple.  Matthew wrote a gospel book about the life of Jesus.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Media,Medes,,"The Medes are an Iranian tribe. In the 7th century BC, they founded a kingdom called Media that allied with the Persians to attack Babylon. King Darius was a Mede.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Melchizedek,,,"Melchizedek means My King is Just. He was king of Salem, and a priest who served the Most-High God. He once blessed Abraham who then paid him with a gift (a tenth, or a tithe). Because Melchizedek did came from a priestly family, he was priest like Jesus who did not come from the priestly tribe of Levi (yet both became legitimate priests by virtue of their obedience to the Most High God.)",,,"""Without geneology."" Geneology was a requirement for Levitical priests. Netither Melchizedek nor Jesus had preiestly credentials, yet both became legitimate priests by virtue of their obedience to the Most High God.",,,,,,,,,,,,,,,,,,,,,,,,
n,Mephibosheth,,,"Mephibosheth was a son of Jonathan. His feet were broken when he was a child. After David became king, he showed much kindness to Mephibosheth.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
